2026-09-21 12:50:47 | INFO     | momentum.main | Momentum shut down cleanly.
2026-09-21 12:52:43 | INFO     | momentum.database.db_manager | Connected to database at D:\momentum App\Momentum_All_Features_v1_QA_FIXED\momentum_final\data\momentum.db
2026-09-21 12:52:43 | INFO     | momentum.database.db_manager | Schema initialized/verified.
2026-09-21 12:52:43 | INFO     | momentum.main | Momentum starting up.
2026-09-21 12:52:44 | INFO     | momentum.views.dashboard_view | DashboardView initialized.
2026-09-21 12:52:44 | INFO     | momentum.views.main_window | Navigated to page: dashboard
2026-09-21 12:52:44 | INFO     | momentum.views.main_window | MainWindow initialized.
2026-09-21 12:52:55 | INFO     | momentum.main | Momentum shut down cleanly.
2026-09-21 12:54:45 | INFO     | momentum.database.db_manager | Connected to database at D:\momentum App\Momentum_All_Features_v1_QA_FIXED\momentum_final\data\momentum.db
2026-09-21 12:54:45 | INFO     | momentum.database.db_manager | Schema initialized/verified.
2026-09-21 12:54:45 | INFO     | momentum.main | Momentum starting up.
2026-09-21 12:54:46 | INFO     | momentum.views.dashboard_view | DashboardView initialized.
2026-09-21 12:54:46 | INFO     | momentum.views.main_window | Navigated to page: dashboard
2026-09-21 12:54:46 | INFO     | momentum.views.main_window | MainWindow initialized.
2026-09-21 12:57:20 | INFO     | momentum.main | Momentum shut down cleanly.
2026-09-21 12:59:02 | INFO     | momentum.database.db_manager | Connected to database at D:\momentum App\Momentum_All_Features_v1_QA_FIXED\momentum_final\data\momentum.db
2026-09-21 12:59:02 | INFO     | momentum.database.db_manager | Schema initialized/verified.
2026-09-21 12:59:02 | INFO     | momentum.main | Momentum starting up.
2026-09-21 12:59:03 | INFO     | momentum.views.dashboard_view | DashboardView initialized.
2026-09-21 12:59:03 | INFO     | momentum.views.main_window | Navigated to page: dashboard
2026-09-21 12:59:03 | INFO     | momentum.views.main_window | MainWindow initialized.
2026-09-21 12:59:06 | INFO     | momentum.views.main_window | Navigated to page: pomodoro
2026-09-21 12:59:09 | INFO     | momentum.main | Momentum shut down cleanly.
2026-09-21 13:12:53 | INFO     | momentum.database.db_manager | Connected to database at C:\Users\HP\Downloads\Momentum_UIUX_Polished\momentum_final\data\momentum.db
2026-09-21 13:12:53 | INFO     | momentum.database.db_manager | Schema initialized/verified.
2026-09-21 13:12:53 | INFO     | momentum.main | Momentum starting up.
2026-09-21 13:12:54 | INFO     | momentum.views.dashboard_view | DashboardView initialized.
2026-09-21 13:12:54 | INFO     | momentum.views.main_window | Navigated to page: dashboard
2026-09-21 13:12:54 | INFO     | momentum.views.main_window | MainWindow initialized.
2026-09-21 13:13:00 | INFO     | momentum.views.main_window | Navigated to page: routine
2026-09-21 13:13:01 | INFO     | momentum.views.habit_view | HabitView initialized.
2026-09-21 13:13:01 | INFO     | momentum.views.main_window | Navigated to page: habits
2026-09-21 13:13:03 | INFO     | momentum.views.main_window | Navigated to page: calendar
2026-09-21 13:13:05 | INFO     | momentum.views.main_window | Navigated to page: pomodoro
2026-09-21 13:13:06 | INFO     | momentum.views.main_window | Navigated to page: study
2026-09-21 13:13:07 | INFO     | momentum.views.main_window | Navigated to page: statistics
2026-09-21 13:13:08 | INFO     | momentum.views.main_window | Navigated to page: goals
2026-09-21 13:13:09 | INFO     | momentum.views.main_window | Navigated to page: projects
2026-09-21 13:13:10 | INFO     | momentum.views.main_window | Navigated to page: focus
2026-09-21 13:13:17 | INFO     | momentum.main | Momentum shut down cleanly.
2026-09-21 07:29:07 | INFO     | momentum.database.db_manager | Connected to database at /home/claude/momentum/Momentum_UIUX_Polished/momentum_final/data/momentum.db
2026-09-21 07:29:07 | INFO     | momentum.database.db_manager | Schema initialized/verified.
2026-09-21 07:29:08 | INFO     | momentum.views.dashboard_view | DashboardView initialized.
